Feature,Description,Method of Aggregation
acc_x_Dec_mean,acceleration on x-axis during decelerating phase,mean
acc_y_Dec_mean,acceleration on y-axis during decelerating phase,mean
acc_z_Dec_mean,acceleration on z-axis during decelerating phase,mean
acc_xy_Dec_mean,acceleration on xy-plane during decelerating phase,mean
acc_xyz_Dec_mean,acceleration on xyz-plane during decelerating phase,mean
gyro_x_Dec_mean,gyrometer reading on x-axis during decelerating phase,mean
gyro_y_Dec_mean,gyrometer reading on y-axis during decelerating phase,mean
gyro_z_Dec_mean,gyrometer reading on z-axis during decelerating phase,mean
acc_x_Dec_sd,acceleration on x-axis during decelerating phase,sd
acc_y_Dec_sd,acceleration on y-axis during decelerating phase,sd
acc_z_Dec_sd,acceleration on z-axis during decelerating phase,sd
acc_xy_Dec_sd,acceleration on xy-plane during decelerating phase,sd
acc_xyz_Dec_sd,acceleration on xyz-plane during decelerating phase,sd
gyro_x_Dec_sd,gyrometer reading on x-axis during decelerating phase,sd
gyro_y_Dec_sd,gyrometer reading on y-axis during decelerating phase,sd
gyro_z_Dec_sd,gyrometer reading on z-axis during decelerating phase,sd
acc_x_Dec_max,acceleration on x-axis during decelerating phase,max
acc_y_Dec_max,acceleration on y-axis during decelerating phase,max
acc_z_Dec_max,acceleration on z-axis during decelerating phase,max
acc_xy_Dec_max,acceleration on xy-plane during decelerating phase,max
acc_xyz_Dec_max,acceleration on xyz-plane during decelerating phase,max
gyro_x_Dec_max,gyrometer reading on x-axis during decelerating phase,max
gyro_y_Dec_max,gyrometer reading on y-axis during decelerating phase,max
gyro_z_Dec_max,gyrometer reading on z-axis during decelerating phase,max
acc_x_d1_Dec_mean,first difference of acceleration on x-axis during decelerating phase,mean
acc_y_d1_Dec_mean,first difference of acceleration on y-axis during decelerating phase,mean
acc_z_d1_Dec_mean,first difference of acceleration on z-axis during decelerating phase,mean
acc_xy_d1_Dec_mean,first difference of acceleration on xy-plane during decelerating phase,mean
acc_xyz_d1_Dec_mean,first difference of acceleration on xyz-plane during decelerating phase,mean
